url,class,type
http://farm2.static.flickr.com/1245/1259825348_6a2aa94e8d.jpg,cat,train
http://farm2.static.flickr.com/1080/1029412358_7ee17550fc.jpg,cat,train
http://farm1.static.flickr.com/196/443645811_8c4bb1af50.jpg,cat,train
http://farm2.static.flickr.com/1201/1285591549_593ca7cf6a.jpg,cat,train
http://farm3.static.flickr.com/2002/1760479467_068432dd3f.jpg,cat,train
http://farm2.static.flickr.com/1411/649938210_e9dcbde5ea.jpg,cat,train
http://farm2.static.flickr.com/1423/918775832_9ecfd414b8.jpg,cat,train
http://farm3.static.flickr.com/2182/1609807321_dd3fdba171.jpg,cat,train
http://farm1.static.flickr.com/78/228831855_3bbae4490c.jpg,cat,train
http://farm2.static.flickr.com/1145/1284337059_29aaf74695.jpg,cat,train
http://farm1.static.flickr.com/22/31377472_8b8b15d01b.jpg,cat,train
http://farm1.static.flickr.com/1/1004525_cba96ba3c3.jpg,cat,train
http://farm1.static.flickr.com/57/213023529_8d84375b05.jpg,cat,train
http://farm1.static.flickr.com/56/164973134_d6799c5db4.jpg,cat,train
http://farm2.static.flickr.com/1286/852162860_b4fef593a6.jpg,cat,train
http://farm1.static.flickr.com/187/371068422_47a9b29455.jpg,cat,train
http://farm3.static.flickr.com/2197/1612667428_4ea558e97b.jpg,cat,train
http://farm2.static.flickr.com/1164/596906845_87bd2499df.jpg,cat,train
http://farm1.static.flickr.com/51/106818681_88076c6eec.jpg,cat,train
http://farm3.static.flickr.com/2216/1530391249_b310d4b331.jpg,cat,train
http://farm1.static.flickr.com/172/437477913_bb222deb51.jpg,cat,train
http://farm1.static.flickr.com/33/65048097_e5264bf855.jpg,cat,train
http://farm3.static.flickr.com/2097/2088612117_09c208ee23.jpg,cat,train
http://farm1.static.flickr.com/33/371068122_d4278b6bb8.jpg,cat,train
http://farm3.static.flickr.com/2354/2102976081_61c8614be8.jpg,cat,train
http://farm3.static.flickr.com/2267/2049593911_a8ab75886b.jpg,cat,train
http://farm3.static.flickr.com/2232/2204139648_63282de1a4.jpg,cat,train
http://farm2.static.flickr.com/1381/565727409_61693c5e14.jpg,cat,train
http://farm1.static.flickr.com/210/467338710_92e7990f09.jpg,cat,train
http://farm2.static.flickr.com/1431/635286623_80324c56c1.jpg,cat,train
http://farm2.static.flickr.com/1413/1286961078_102af29059.jpg,cat,train
http://farm1.static.flickr.com/186/444986815_cdecf4ccc0.jpg,cat,train
http://farm1.static.flickr.com/39/75714427_07216dd49d.jpg,cat,train
http://farm1.static.flickr.com/49/132962202_f057174717.jpg,cat,train
http://farm2.static.flickr.com/1336/1458080062_e8120b1c78.jpg,cat,train
http://farm1.static.flickr.com/135/331620804_e315322a82.jpg,cat,train
http://farm1.static.flickr.com/23/34124450_6995ec9125.jpg,cat,train
http://farm2.static.flickr.com/1390/709949156_5e4ac3f499.jpg,cat,train
http://farm1.static.flickr.com/70/189124128_5878c3e898.jpg,cat,train
http://farm1.static.flickr.com/36/98627889_cdb44bd93d.jpg,cat,train
http://farm3.static.flickr.com/2373/2235269779_6207ea1abd.jpg,cat,train
http://farm3.static.flickr.com/2223/2088628513_71b9bcdc22.jpg,cat,train
http://farm1.static.flickr.com/124/355776256_f05e733a93.jpg,cat,train
http://farm1.static.flickr.com/81/243007380_feda8c8a4c.jpg,cat,train
http://farm1.static.flickr.com/47/126084132_93e5aeade7.jpg,cat,train
http://farm1.static.flickr.com/211/504313582_57ba5e45cc.jpg,cat,train
http://farm1.static.flickr.com/213/458865943_58cac7c564.jpg,cat,train
http://farm1.static.flickr.com/42/93855106_90048c3e97.jpg,cat,train
http://farm1.static.flickr.com/54/161285442_8bcc94a3d5.jpg,cat,train
http://farm2.static.flickr.com/1373/540653104_08e52db275.jpg,cat,train
http://farm1.static.flickr.com/226/464436347_743adfb19e.jpg,cat,train
http://farm2.static.flickr.com/1119/1371892048_9e9f3ee318.jpg,cat,train
http://farm1.static.flickr.com/41/123391236_f39d405ba8.jpg,cat,train
http://farm3.static.flickr.com/2366/1845262280_b5ba3ffa6f.jpg,cat,train
http://farm2.static.flickr.com/1094/1371917878_f0d7937560.jpg,cat,train
http://farm1.static.flickr.com/171/373046865_16f4c180fe.jpg,cat,train
http://farm2.static.flickr.com/1221/1011749126_44a195db4c.jpg,cat,train
http://farm2.static.flickr.com/1158/597159250_7c93b93b2f.jpg,cat,train
http://farm1.static.flickr.com/22/25341802_95203fb8be.jpg,cat,train
http://farm3.static.flickr.com/2194/2172322352_72203ff7e9.jpg,cat,train
http://farm1.static.flickr.com/120/311234045_257a6f0ce2.jpg,cat,train
http://farm3.static.flickr.com/2185/1901707440_da37ea45b1.jpg,cat,train
http://farm2.static.flickr.com/1104/1181886610_3d23bdc306.jpg,cat,train
